City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
39,Sovetskiy,RU,61.36,63.58,-27.44,85,0,3.33,clear sky
40,Kahului,US,20.89,-156.47,78.8,65,20,8.05,few clouds
41,Arraial Do Cabo,BR,-22.97,-42.03,75.2,88,75,5.82,light rain
42,Birao,CF,10.28,22.79,77.92,25,0,5.66,clear sky
43,Ariquemes,BR,-9.91,-63.04,82.51,88,100,2.37,moderate rain
44,Hami,CN,42.8,93.45,16.41,78,92,1.54,overcast clouds
45,Moroni,KM,-11.7,43.26,80.89,75,8,6.53,light rain
46,Mamallapuram,IN,12.63,80.17,73.4,88,20,3.36,mist
47,Ugoofaaru,MV,5.67,73.0,81.48,81,32,12.73,light rain
48,Synya,RU,65.37,58.04,-27.35,83,0,3.56,clear sky
49,Lompoc,US,34.64,-120.46,57.2,62,20,4.7,few clouds
50,Bredasdorp,ZA,-34.53,20.04,60.8,77,5,1.12,clear sky
51,Leningradskiy,RU,69.38,178.42,3.76,93,98,5.03,overcast clouds
52,Broome,US,42.25,-75.83,46.99,93,90,10.29,moderate rain
53,Saint-Philippe,RE,-21.36,55.77,77.0,78,0,4.7,light rain
54,Coquimbo,CL,-29.95,-71.34,66.2,63,20,13.87,few clouds
55,Bambous Virieux,MU,-20.34,57.76,79.0,88,75,6.93,shower rain
56,Chuy,UY,-33.7,-53.46,74.71,71,8,15.12,clear sky
57,Peddapalli,IN,18.62,79.37,61.68,55,3,1.14,clear sky
58,Atuona,PF,-9.8,-139.03,78.75,77,2,12.3,clear sky
59,Dromolaxia,CY,34.88,33.59,51.8,76,20,6.93,few clouds
60,Butaritari,KI,3.07,172.79,80.02,80,100,17.16,overcast clouds
61,Jamestown,US,42.1,-79.24,36.0,93,90,14.99,moderate rain
62,Hovd,MN,48.01,91.64,5.25,85,99,0.47,light snow
63,Majene,ID,-3.54,118.97,77.99,82,100,4.21,overcast clouds
64,Georgetown,MY,5.41,100.34,78.8,94,20,2.24,few clouds
65,Waipawa,NZ,-41.41,175.52,62.01,93,97,16.11,overcast clouds
66,Cidreira,BR,-30.18,-50.21,75.58,76,4,21.34,clear sky
67,Biak,ID,-0.91,122.88,78.85,76,100,2.01,light rain
68,Port Elizabeth,ZA,-33.92,25.57,62.6,88,0,2.24,clear sky
69,Mahebourg,MU,-20.41,57.7,77.0,88,75,6.93,shower rain
70,Talnakh,RU,69.49,88.4,-41.8,64,20,4.47,haze
71,Hobart,AU,-42.88,147.33,48.99,76,75,8.05,broken clouds
72,Chokurdakh,RU,70.63,147.92,-10.14,90,100,13.73,light snow
73,Nacala,MZ,-14.54,40.67,81.9,79,57,7.81,broken clouds
74,Albany,US,42.6,-73.97,48.0,80,100,10.78,light rain
75,Geraldton,AU,-28.77,114.6,64.4,72,0,8.05,clear sky
76,Banda Aceh,ID,5.56,95.32,76.98,83,97,4.36,overcast clouds
77,Effium,NG,6.63,8.06,84.31,28,96,1.12,overcast clouds
78,Hermanus,ZA,-34.42,19.23,59.0,87,20,2.33,few clouds
79,Half Moon Bay,US,37.46,-122.43,53.01,75,75,5.93,broken clouds
80,Espanola,US,35.99,-106.08,30.99,23,1,4.7,clear sky
81,Sumbe,AO,-11.21,13.84,76.75,79,100,6.67,overcast clouds
82,Tomigusuku,JP,26.18,127.67,66.2,82,75,23.04,broken clouds
83,Esperance,AU,-33.87,121.9,66.2,68,0,18.34,clear sky
84,Belaya Gora,RU,68.53,146.42,-13.79,88,100,15.77,overcast clouds
85,Undory,RU,54.61,48.39,12.2,85,90,8.95,light snow
86,Roald,NO,62.58,6.13,35.6,80,83,19.46,light rain
87,Ransang,PH,8.96,117.58,78.8,84,100,8.79,overcast clouds
88,Qaanaaq,GL,77.48,-69.36,-3.53,74,66,5.17,broken clouds
89,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,80.6,88,40,3.36,scattered clouds
90,Barrow,US,71.29,-156.79,1.4,77,90,11.41,light snow
91,Hilo,US,19.73,-155.09,77.0,61,1,4.7,clear sky
92,Tiznit,MA,29.58,-9.5,58.3,48,67,4.32,broken clouds
93,Torbay,CA,47.67,-52.73,33.01,89,40,8.05,scattered clouds
94,Yarada,IN,17.65,83.27,64.4,88,0,2.24,mist
95,Bonthe,SL,7.53,-12.51,80.22,79,57,6.76,broken clouds
96,Oistins,BB,13.07,-59.53,84.2,62,20,18.34,few clouds
97,Berlevag,NO,70.86,29.09,25.47,93,100,25.41,overcast clouds
98,Tasiilaq,GL,65.61,-37.64,32.0,98,100,13.87,light snow
99,Kodiak,US,57.79,-152.41,33.8,86,90,3.36,light rain
100,Tiksi,RU,71.69,128.87,-20.02,88,100,10.56,overcast clouds
