City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
163,Kavieng,PG,2020-12-22 17:13:23,-2.57,150.8,81.61,77,96,7.09
164,Micheweni,TZ,2020-12-22 17:13:24,-4.97,39.83,81.1,83,5,12.26
165,Aklavik,CA,2020-12-22 17:13:24,68.22,-135.01,-23.8,74,5,6.93
166,Sorland,NO,2020-12-22 17:13:24,67.67,12.69,42.8,70,0,10.29
167,Dhidhdhoo,MV,2020-12-22 17:13:01,6.88,73.1,81.16,82,100,20.15
168,Umm Kaddadah,SD,2020-12-22 17:13:24,13.6,26.69,78.6,17,40,10.45
169,Registro,BR,2020-12-22 17:13:25,-24.49,-47.84,71.29,92,100,4.43
170,Shepetivka,UA,2020-12-22 17:13:25,50.19,27.06,29.91,93,98,13.02
171,Kieta,PG,2020-12-22 17:13:25,-6.22,155.63,79.36,78,90,3.02
172,Brae,GB,2020-12-22 17:13:25,60.4,-1.35,44.6,70,40,20.8
173,Minab,IR,2020-12-22 17:13:26,27.15,57.08,62.6,39,0,4.7
174,Taoudenni,ML,2020-12-22 17:13:26,22.68,-3.98,71.37,26,0,15.28
175,Abu Samrah,SY,2020-12-22 17:13:26,35.3,37.18,53.26,76,36,2.24
176,Batagay,RU,2020-12-22 17:13:26,67.63,134.63,-47.15,75,56,1.1
177,Susuman,RU,2020-12-22 17:13:26,62.78,148.17,-26.5,83,99,2.57
178,Solnechnyy,RU,2020-12-22 17:13:27,50.72,136.63,1.67,82,2,2.55
179,Nyurba,RU,2020-12-22 17:13:27,63.28,118.33,-38.45,81,39,2.53
180,Inhambane,MZ,2020-12-22 17:13:27,-23.86,35.38,84.2,66,20,8.5
181,Santa Isabel Do Rio Negro,BR,2020-12-22 17:13:27,-0.41,-65.02,89.76,61,100,1.57
182,Wajid,SO,2020-12-22 17:13:28,3.81,43.25,86.67,30,85,8.88
183,Ponta Delgada,PT,2020-12-22 17:13:28,37.73,-25.67,57.2,67,40,13.87
184,Namibe,AO,2020-12-22 17:13:28,-15.2,12.15,71.64,80,20,11.61
185,San Patricio,US,2020-12-22 17:13:28,28.02,-97.52,73.0,68,75,9.17
186,Norman Wells,CA,2020-12-22 17:13:28,65.28,-126.83,-22.0,74,5,8.05
187,Ahuimanu,US,2020-12-22 17:13:29,21.44,-157.84,69.8,83,20,7.31
188,Ribeira Grande,PT,2020-12-22 17:13:29,38.52,-28.7,59.0,51,40,11.41
189,Korem,ET,2020-12-22 17:13:29,12.51,39.52,55.36,66,5,5.57
190,Chahuites,MX,2020-12-22 17:13:29,16.28,-94.18,87.35,45,7,5.93
191,Hovd,MN,2020-12-22 17:12:56,48.01,91.64,1.89,66,21,7.27
192,Pangnirtung,CA,2020-12-22 17:13:30,66.15,-65.71,8.6,84,90,17.22
193,Bondo,CD,2020-12-22 17:13:30,3.81,23.69,82.08,42,52,1.95
194,Middle Island,US,2020-12-22 17:13:30,40.88,-72.94,45.0,60,1,16.11
195,Vestmanna,FO,2020-12-22 17:13:30,62.16,-7.17,37.4,86,86,8.05
196,Vostok,RU,2020-12-22 17:13:31,46.49,135.88,4.93,96,100,3.8
197,Sirjan,IR,2020-12-22 17:13:31,29.45,55.68,44.64,57,0,3.62
198,Yurimaguas,PE,2020-12-22 17:13:22,-5.9,-76.08,80.6,83,75,6.93
199,Cidreira,BR,2020-12-22 17:12:49,-30.18,-50.21,72.68,57,0,10.96
200,Sitka,US,2020-12-22 17:13:31,57.05,-135.33,37.4,74,20,11.41
201,Changping,CN,2020-12-22 17:13:32,40.22,116.22,33.01,62,0,2.24
202,Hamilton,US,2020-12-22 17:12:19,39.18,-84.53,42.01,64,90,5.82
203,Fort Wellington,GY,2020-12-22 17:13:32,6.4,-57.6,83.21,77,69,9.6
204,Saint-Francois,FR,2020-12-22 17:13:32,46.42,3.91,59.0,72,75,6.93
205,Santa Cruz Verapaz,GT,2020-12-22 17:13:33,15.37,-90.43,62.6,93,90,3.04
206,Ilulissat,GL,2020-12-22 17:11:23,69.22,-51.1,33.8,55,75,12.75
207,Kijang,KR,2020-12-22 17:13:33,35.24,129.21,28.4,74,0,1.12
208,Lorengau,PG,2020-12-22 17:13:33,-2.02,147.27,79.52,84,100,10.42
209,Bereda,ES,2020-12-22 17:13:34,43.27,-7.54,57.99,74,100,7.0
210,Talcahuano,CL,2020-12-22 17:08:35,-36.72,-73.12,69.8,60,0,14.99
211,Faanui,PF,2020-12-22 17:13:34,-16.48,-151.75,79.57,69,98,2.95
212,Takaungu,KE,2020-12-22 17:13:34,-3.68,39.86,82.4,78,20,9.17
213,Nelson Bay,AU,2020-12-22 17:13:35,-32.72,152.15,62.01,67,80,10.29
214,Topolobampo,MX,2020-12-22 17:13:35,25.6,-109.05,57.2,93,90,2.8
215,Nicoya,CR,2020-12-22 17:13:35,10.15,-85.45,86.0,55,20,23.04
216,Lagoa,PT,2020-12-22 17:13:35,39.05,-27.98,55.96,70,7,22.73
217,Ishigaki,JP,2020-12-22 17:13:36,24.34,124.16,72.03,77,76,19.42
218,Shache,CN,2020-12-22 17:13:36,38.42,77.24,19.47,94,3,4.21
219,Ponta Do Sol,PT,2020-12-22 17:13:36,32.67,-17.1,66.2,59,40,9.17
220,Beringovskiy,RU,2020-12-22 17:13:36,63.05,179.32,-18.42,85,73,20.65
221,Vila,PT,2020-12-22 17:13:36,42.03,-8.16,54.0,86,92,8.01
222,Zhezkazgan,KZ,2020-12-22 17:13:37,47.8,67.71,-7.02,84,0,3.22
223,Bambous Virieux,MU,2020-12-22 17:13:37,-20.34,57.76,78.01,94,75,11.41
224,Codrington,AU,2020-12-22 17:13:37,-38.27,141.97,54.59,86,72,7.43
225,Alofi,NU,2020-12-22 17:13:37,-19.06,-169.92,71.6,100,88,3.85
226,Sisimiut,GL,2020-12-22 17:13:38,66.94,-53.67,22.64,94,100,22.48
227,Choszczno,PL,2020-12-22 17:13:38,53.17,15.42,54.0,87,97,11.99
228,Afsin,TR,2020-12-22 17:13:38,38.25,36.91,36.21,83,93,1.1
229,Shaoyang,CN,2020-12-22 17:13:38,27.23,111.45,48.06,56,73,0.36
230,Huancabamba,PE,2020-12-22 17:13:38,-5.24,-79.45,70.38,59,92,1.66
231,Kenai,US,2020-12-22 17:13:39,60.55,-151.26,35.6,93,90,17.22
232,Hasaki,JP,2020-12-22 17:12:36,35.73,140.83,28.4,92,20,1.12
233,Charters Towers,AU,2020-12-22 17:13:39,-20.1,146.27,77.63,80,84,5.99
234,Uarini,BR,2020-12-22 17:13:39,-2.99,-65.11,82.4,88,40,3.36
235,Galesong,ID,2020-12-22 17:13:39,-5.32,119.37,75.2,100,40,5.82
236,Shimoda,JP,2020-12-22 17:13:40,34.67,138.95,39.0,72,0,1.01
237,Port Blair,IN,2020-12-22 17:13:40,11.67,92.75,77.95,77,21,9.91
238,Mezhdurechensk,RU,2020-12-22 17:13:40,53.69,88.06,3.2,92,100,7.0
239,Constitucion,CL,2020-12-22 17:13:40,-35.33,-72.42,69.76,45,2,16.11
240,Champerico,GT,2020-12-22 17:13:40,14.3,-91.92,84.2,66,40,4.7
241,Khatanga,RU,2020-12-22 17:13:41,71.97,102.5,-32.03,79,22,8.9
242,Nizhniy Odes,RU,2020-12-22 17:13:41,63.64,54.86,29.66,98,100,11.52
243,Souillac,MU,2020-12-22 17:13:41,-20.52,57.52,75.2,94,75,11.41
244,Saint-Augustin,CA,2020-12-22 17:13:41,51.23,-58.65,38.75,98,100,10.54
245,Jiayuguan,CN,2020-12-22 17:13:41,39.82,98.3,12.47,80,97,3.8
246,Zhangjiakou,CN,2020-12-22 17:13:42,40.81,114.88,19.53,86,87,3.31
247,Saint-Joseph,RE,2020-12-22 17:13:42,-21.37,55.62,78.8,69,0,20.8
248,Puerto Escondido,MX,2020-12-22 17:13:42,15.85,-97.07,82.4,78,5,3.18
249,Talara,PE,2020-12-22 17:13:42,-4.58,-81.27,82.4,54,20,21.92
250,Tiznit,MA,2020-12-22 17:13:43,29.58,-9.5,66.31,33,0,5.21
251,Palanga,LT,2020-12-22 17:13:43,55.92,21.07,35.6,93,90,16.11
252,Clyde River,CA,2020-12-22 17:13:43,70.47,-68.59,3.2,91,100,30.33
253,Kaitangata,NZ,2020-12-22 17:13:43,-46.28,169.85,57.0,99,100,2.04
254,Dodge City,US,2020-12-22 17:13:44,37.75,-100.02,50.0,65,1,14.99
255,Mountain Home,US,2020-12-22 17:13:44,43.13,-115.69,33.8,74,90,18.34
256,San Quintin,MX,2020-12-22 17:13:44,30.48,-115.95,64.29,43,34,1.92
257,Churapcha,RU,2020-12-22 17:13:44,62.0,132.43,-46.25,78,84,2.04
258,Portland,US,2020-12-22 17:11:08,45.52,-122.68,43.0,85,6,4.0
259,Lebu,CL,2020-12-22 17:10:17,-37.62,-73.65,60.44,69,0,22.91
260,Necochea,AR,2020-12-22 17:13:45,-38.55,-58.74,85.28,25,0,8.12
261,Tecoman,MX,2020-12-22 17:13:45,18.92,-103.88,75.2,57,20,2.01
262,Viedma,AR,2020-12-22 17:10:39,-40.81,-63.0,98.37,15,8,17.74
263,Khelyulya,RU,2020-12-22 17:13:46,61.73,30.68,36.23,94,93,7.65
264,Melfi,IT,2020-12-22 17:13:46,41.0,15.65,45.0,82,77,2.42
265,Saint George,US,2020-12-22 17:13:46,37.1,-113.58,39.2,51,1,1.25
266,Miskolc,HU,2020-12-22 17:10:07,48.1,20.78,37.0,87,100,7.02
267,Ballina,AU,2020-12-22 17:13:46,-28.87,153.57,77.0,65,93,10.29
268,Videira,BR,2020-12-22 17:13:47,-27.01,-51.15,85.8,28,0,4.68
269,Magadan,RU,2020-12-22 17:13:47,59.57,150.8,-5.03,85,98,15.14
270,Mindelo,CV,2020-12-22 17:13:47,16.89,-24.98,77.0,57,20,20.8
271,Paamiut,GL,2020-12-22 17:13:22,61.99,-49.67,32.47,97,100,26.51
272,Zhanaozen,KZ,2020-12-22 17:13:48,43.3,52.8,24.19,91,0,14.29
273,Tasiilaq,GL,2020-12-22 17:13:48,65.61,-37.64,17.6,57,40,5.82
274,Ca Mau,VN,2020-12-22 17:13:48,9.18,105.15,71.02,82,100,5.82
275,Hithadhoo,MV,2020-12-22 17:13:48,-0.6,73.08,82.51,76,92,13.4
276,Kampot,KH,2020-12-22 17:13:48,10.62,104.18,78.8,61,20,2.24
277,Marovoay,MG,2020-12-22 17:13:49,-16.1,46.63,82.4,69,20,10.29
278,Tahoua,NE,2020-12-22 17:13:49,14.89,5.27,89.6,18,0,4.7
279,Broome,US,2020-12-22 17:13:49,42.25,-75.83,37.0,80,90,13.87
280,Mount Isa,AU,2020-12-22 17:13:50,-20.73,139.5,73.4,78,90,5.82
281,Kaeo,NZ,2020-12-22 17:13:50,-35.1,173.78,62.01,93,99,1.01
282,Vila Velha,BR,2020-12-22 17:11:50,-20.33,-40.29,91.4,59,20,12.75
283,Marsh Harbour,BS,2020-12-22 17:12:39,26.54,-77.06,72.28,57,37,13.53
284,Strelka,RU,2020-12-22 17:13:50,58.07,93.03,1.09,92,100,7.29
285,Gornopravdinsk,RU,2020-12-22 17:13:51,60.05,69.9,1.49,93,100,6.58
286,Thornbury,GB,2020-12-22 17:13:51,52.23,-2.55,44.01,94,100,6.69
287,Saint-Philippe,RE,2020-12-22 17:13:51,-21.36,55.77,78.8,69,0,20.8
288,Hambantota,LK,2020-12-22 17:13:51,6.12,81.12,75.52,89,100,9.44
289,San Cristobal,VE,2020-12-22 17:13:51,7.77,-72.22,86.0,55,40,5.82
290,Sakakah,SA,2020-12-22 17:13:52,29.97,40.21,62.6,51,0,4.7
291,Quatre Cocos,MU,2020-12-22 17:13:52,-20.21,57.76,78.01,94,75,11.41
292,Matara,LK,2020-12-22 17:11:09,5.95,80.54,74.86,89,100,2.95
293,Bakchar,RU,2020-12-22 17:13:52,57.02,82.07,-8.0,91,100,4.68
294,Anito,PH,2020-12-22 17:13:52,12.45,125.29,80.04,87,1,9.04
295,Cocorit,MX,2020-12-22 17:13:53,27.58,-109.97,60.8,59,5,2.28
296,Superior,US,2020-12-22 17:13:53,46.72,-92.1,27.0,85,90,4.14
297,Akhmim,EG,2020-12-22 17:13:53,26.56,31.75,68.0,40,0,9.17
298,Moose Factory,CA,2020-12-22 17:13:53,51.26,-80.61,3.2,77,90,10.29
299,Aswan,EG,2020-12-22 17:13:53,24.09,32.91,71.1,24,5,9.57
300,Benghazi,LY,2020-12-22 17:13:54,32.12,20.07,63.23,72,90,12.55
301,Klaksvik,FO,2020-12-22 17:13:54,62.23,-6.59,37.4,86,97,8.05
302,Sapa,PH,2020-12-22 17:13:54,5.15,120.32,81.66,81,46,6.98
303,Kemijarvi,FI,2020-12-22 17:13:54,66.71,27.43,33.62,93,98,6.08
304,Isla Mujeres,MX,2020-12-22 17:12:18,21.23,-86.73,80.6,69,40,9.17
305,Ishim,RU,2020-12-22 17:13:55,56.11,69.49,7.86,95,100,10.65
306,Arlit,NE,2020-12-22 17:13:55,18.74,7.39,77.16,17,0,8.37
