City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
340,Acajutla,SV,86.0,few clouds,13.59,-89.83,Urbanización Brisas de Acajutla II
341,Labrea,BR,86.41,overcast clouds,-7.26,-64.8,Hotel Novo Horizonte
342,Mareeba,AU,77.0,overcast clouds,-17.0,145.43,Trinity Plains Tourist Park
345,Salalah,OM,71.6,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
347,Auki,SB,80.01,light rain,-8.77,160.7,Auki Motel
359,Faanui,PF,80.47,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
361,Kokopo,PG,78.87,light rain,-4.35,152.26,Kokopo Beach Bungalow Resort
362,Honiara,SB,75.2,light rain,-9.43,159.95,Heritage Park Hotel
363,Prestea,GH,76.37,broken clouds,5.43,-2.14,Channel 5
364,Pitimbu,BR,82.4,scattered clouds,-7.47,-34.81,Reserva do Abiaí
367,Lamu,KE,80.6,clear sky,-2.27,40.9,Lamu House
368,Ambovombe,MG,75.58,overcast clouds,-25.17,46.08,RELAHARA
369,Maragogi,BR,79.38,overcast clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
376,Sao Felix Do Xingu,BR,78.66,moderate rain,-6.64,-51.99,Apart Hotel Rio Xingu
377,Mecca,SA,75.04,few clouds,21.43,39.83,"Makkah Clock Royal Tower, A Fairmont Hotel"
379,Campos,BR,73.4,light rain,-21.75,-41.3,Palace Hotel - Campos dos Goytacazes
380,Itarema,BR,82.56,scattered clouds,-2.92,-39.92,Windvillage
381,Carahue,CL,73.4,few clouds,-38.7,-73.17,Hospedaje Familiar
382,Tual,ID,82.76,moderate rain,-5.67,132.75,Grand Vilia Hotel
383,Tshikapa,CD,73.02,broken clouds,-6.42,20.8,Hôtel Tshia-Muntu de Tshikapa
388,Kissimmee,US,81.0,broken clouds,28.3,-81.42,Baymont by Wyndham Kissimmee
401,Meulaboh,ID,76.41,broken clouds,4.14,96.13,Kost Pria
403,Yenagoa,NG,77.32,overcast clouds,4.92,6.26,Amba Hotels Limited
407,Correntina,BR,85.24,few clouds,-13.34,-44.64,Hotel Pousada dos Sonhos
408,Alyangula,AU,82.4,scattered clouds,-13.85,136.42,Groote Eylandt Lodge
410,Molepolole,BW,80.6,clear sky,-24.41,25.5,Butterfly Guest House
412,Padang,ID,78.39,heavy intensity rain,-0.95,100.35,Mercure Padang
413,Santa Cruz,BO,93.2,broken clouds,-17.8,-63.17,Hotel Cortez
416,Tsabong,BW,80.4,clear sky,-26.02,22.4,Springbok Motel
417,Giyani,ZA,71.98,overcast clouds,-23.3,30.72,Kulani Country Lodge
422,Bontang,ID,77.77,overcast clouds,0.13,117.5,Okra Leaf Guest House Syariah
426,Acapulco,MX,84.2,clear sky,16.86,-99.89,HS Hotsson Smart Acapulco
427,Hualmay,PE,72.59,few clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
428,Kailua,US,75.2,scattered clouds,21.4,-157.74,Sheffield House Bed & Breakfast
429,Pozo Colorado,PY,98.65,overcast clouds,-23.49,-58.8,Hospedaje la Amistad
433,Panlaitan,PH,81.3,clear sky,12.12,119.85,Panlaitan Cetro Beach
439,Bac Lieu,VN,77.02,broken clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
442,Tuy Hoa,VN,73.42,light rain,13.08,109.3,CenDeluxe Hotel Tuy Hoa
448,Tres Picos,MX,89.71,clear sky,15.87,-93.53,HOTEL TRES PICOS
449,Maceio,BR,80.6,few clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
452,Vallenar,CL,84.06,clear sky,-28.57,-70.76,Humacao Bed & Breakfast
456,Buala,SB,81.36,light rain,-8.14,159.59,Maringe Lagoon Lodge
458,Necochea,AR,81.03,scattered clouds,-38.55,-58.74,dyd -mar Hotel
459,Shakawe,BW,71.83,light rain,-18.37,21.85,Ditlhapi Guest House
474,Canto Do Buriti,BR,87.76,few clouds,-8.11,-42.94,Novo Hotel
477,Del Carmen,PH,80.69,overcast clouds,9.87,125.97,Mangrove Breeze Country Inn
478,Oussouye,SN,84.2,clear sky,12.48,-16.55,Auberge du Routard
482,Sitio Novo Do Tocantins,BR,84.2,light rain,-5.52,-47.46,Imperial Hotel
485,Nhulunbuy,AU,78.8,overcast clouds,-12.23,136.77,East Arnhem Real Estate
487,Key Largo,US,79.0,clear sky,25.09,-80.45,Bayside Inn Key Largo
492,Vanimo,PG,77.27,heavy intensity rain,-2.67,141.3,Vahmoneh Lodge Vanimo
494,Angoche,MZ,83.1,clear sky,-16.23,39.91,Guest House HESADA
495,Katherine,AU,77.0,moderate rain,-14.47,132.27,Pine Tree Motel
497,Kavaratti,IN,82.13,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
500,Puerto Rico,AR,96.93,broken clouds,-26.8,-55.02,Hotel Cabañas del Prado
501,La Reforma,MX,84.99,overcast clouds,25.08,-108.05,Arremar Angostura
503,Sao Joao Da Ponte,BR,76.77,clear sky,-15.93,-44.01,Hotel da Cidade
504,Hwange,ZW,77.41,overcast clouds,-18.37,26.5,Hwange Colliery Guest House
505,Sao Joao Da Barra,BR,73.4,moderate rain,-21.64,-41.05,Pousada Porto De Canoas
511,Si Sa Ket,TH,71.01,clear sky,14.83,104.33,นามอมทิม
512,Codajas,BR,90.14,broken clouds,-3.84,-62.06,Hotel Tamires
514,Peruibe,BR,73.98,broken clouds,-24.32,-47.0,Hotel Pousada Xapuri
517,Nelson Bay,AU,70.0,broken clouds,-32.72,152.15,Mantra Nelson Bay
519,Pontianak,ID,75.04,scattered clouds,-0.03,109.33,Aston Pontianak Hotel & Convention Center
521,Kirakira,SB,81.59,overcast clouds,-10.45,161.92,SanBiz Lodge
524,Makakilo City,US,78.8,broken clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
